web-scraper-order,web-scraper-start-url,category,category-href,company,rating
"1593890564-4181","https://thegoodshoppingguide.com/","Ethical Beer, Lager and Cider","https://thegoodshoppingguide.com/subject/beer-lager-and-cider/","Wadworth's 6X","62"
"1593890525-3905","https://thegoodshoppingguide.com/","Ethical Soup","https://thegoodshoppingguide.com/subject/soup/","New Covent Garden","46"
"1593890470-3438","https://thegoodshoppingguide.com/","Ethical Furniture‍‍‍","https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/","Marks & Spencer","50"
"1593890570-4227","https://thegoodshoppingguide.com/","Ethical Shoes & Trainers","https://thegoodshoppingguide.com/subject/shoes-trainers/","LK Bennett","65"
"1593890551-4103","https://thegoodshoppingguide.com/","Ethical Cat & Dog Food","https://thegoodshoppingguide.com/subject/cat-dog-food/","Hill's","36"
"1593890566-4192","https://thegoodshoppingguide.com/","Ethical Bananas","https://thegoodshoppingguide.com/subject/bananas/","Budgens","75"
"1593890534-3951","https://thegoodshoppingguide.com/","Ethical Jam and Spreads","https://thegoodshoppingguide.com/subject/jam-and-spreads/","Baxters","62"
"1593890438-3156","https://thegoodshoppingguide.com/","Ethical Mobile Phones","https://thegoodshoppingguide.com/subject/mobile-phones/","BlackBerry","92"
"1593890497-3714","https://thegoodshoppingguide.com/","Ethical Shampoo & Conditioner","https://thegoodshoppingguide.com/subject/shampoo-conditioner/","Redken","50"
"1593890464-3372","https://thegoodshoppingguide.com/","Ethical Laundry Detergents","https://thegoodshoppingguide.com/subject/laundry-detergents/","Greenscents","95"
"1593890527-3911","https://thegoodshoppingguide.com/","Ethical Soft Drinks","https://thegoodshoppingguide.com/subject/soft-drinks/","Irn Bru","74"
"1593890527-3906","https://thegoodshoppingguide.com/","Ethical Soft Drinks","https://thegoodshoppingguide.com/subject/soft-drinks/","Whole Earth Cola","83"
"1593890472-3453","https://thegoodshoppingguide.com/","Ethical Fridges & Freezers","https://thegoodshoppingguide.com/subject/fridges-freezers/","New World","82"
"1593890564-4174","https://thegoodshoppingguide.com/","Ethical Beer, Lager and Cider","https://thegoodshoppingguide.com/subject/beer-lager-and-cider/","John Smiths","67"
"1593890477-3508","https://thegoodshoppingguide.com/","Ethical Dishwashers","https://thegoodshoppingguide.com/subject/dishwashers/","Samsung","27"
"1593890451-3254","https://thegoodshoppingguide.com/","Ethical Banks & Building Societies‍‍‍","https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/","Coventry Building Society","78"
"1593890508-3786","https://thegoodshoppingguide.com/","Ethical Feminine Care","https://thegoodshoppingguide.com/subject/ethical-feminine-care/","Natracare","100"
"1593890536-3964","https://thegoodshoppingguide.com/","Ethical Ice Cream","https://thegoodshoppingguide.com/subject/ice-cream/","Magnum","63"
"1593890486-3574","https://thegoodshoppingguide.com/","Ethical Vitamins","https://thegoodshoppingguide.com/subject/ethical-vitamins/","Floradix","87"
"1593890492-3638","https://thegoodshoppingguide.com/","Ethical Soap","https://thegoodshoppingguide.com/subject/soap/","Bentley Organic","69"
"1593890508-3790","https://thegoodshoppingguide.com/","Ethical Feminine Care","https://thegoodshoppingguide.com/subject/ethical-feminine-care/","Bloom & Nora","83"
"1593890488-3589","https://thegoodshoppingguide.com/","Ethical Toothpaste","https://thegoodshoppingguide.com/subject/ethical-toothpaste/","Green People","100"
"1593890551-4096","https://thegoodshoppingguide.com/","Ethical Cat & Dog Food","https://thegoodshoppingguide.com/subject/cat-dog-food/","Hi-Life","59"
"1593890492-3640","https://thegoodshoppingguide.com/","Ethical Soap","https://thegoodshoppingguide.com/subject/soap/","Imperial Leather","62"
"1593890551-4070","https://thegoodshoppingguide.com/","Ethical Cat & Dog Food","https://thegoodshoppingguide.com/subject/cat-dog-food/","AATU","91"
"1593890461-3355","https://thegoodshoppingguide.com/","Ethical Paint","https://thegoodshoppingguide.com/subject/paint/","Lakeland Paints","94"
"1593890451-3249","https://thegoodshoppingguide.com/","Ethical Banks & Building Societies‍‍‍","https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/","Leeds Building Society","83"
"1593890516-3853","https://thegoodshoppingguide.com/","Ethical Tinned Tuna","https://thegoodshoppingguide.com/subject/tinned-tuna/","Princes","27"
"1593890438-3166","https://thegoodshoppingguide.com/","Ethical Mobile Phones","https://thegoodshoppingguide.com/subject/mobile-phones/","iPhone","54"
"1593890503-3755","https://thegoodshoppingguide.com/","Ethical Nappies","https://thegoodshoppingguide.com/subject/nappies/","Pampers","46"
"1593890575-4288","https://thegoodshoppingguide.com/","Ethical Electricity Suppliers","https://thegoodshoppingguide.com/subject/electricity-suppliers/","Power NI","85"
"1593890551-4087","https://thegoodshoppingguide.com/","Ethical Cat & Dog Food","https://thegoodshoppingguide.com/subject/cat-dog-food/","Pooch & Mutt","82"
"1593890451-3251","https://thegoodshoppingguide.com/","Ethical Banks & Building Societies‍‍‍","https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/","Skipton Building Society","83"
"1593890481-3545","https://thegoodshoppingguide.com/","Ethical Cleaners","https://thegoodshoppingguide.com/subject/ethical-cleaners/","Cilit Bang","41"
"1593890505-3780","https://thegoodshoppingguide.com/","Ethical Make Up","https://thegoodshoppingguide.com/subject/make-up/","Origins","42"
"1593890516-3846","https://thegoodshoppingguide.com/","Ethical Tinned Tuna","https://thegoodshoppingguide.com/subject/tinned-tuna/","Marks & Spencer","68"
"1593890435-3134","https://thegoodshoppingguide.com/","Ethical PC's, Laptops and Tablets","https://thegoodshoppingguide.com/subject/pcs-laptops-and-tablets/","Packard Bell","92"
"1593890470-3424","https://thegoodshoppingguide.com/","Ethical Furniture‍‍‍","https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/","Myakka","100"
"1593890431-3110","https://thegoodshoppingguide.com/","Ethical TV and Broadband","https://thegoodshoppingguide.com/subject/tv-and-broadband/","Utility Warehouse","90"
"1593890495-3673","https://thegoodshoppingguide.com/","Ethical Skincare","https://thegoodshoppingguide.com/subject/skincare/","Botanics","50"
"1593890497-3729","https://thegoodshoppingguide.com/","Ethical Shampoo & Conditioner","https://thegoodshoppingguide.com/subject/shampoo-conditioner/","OGX","27"
"1593890573-4272","https://thegoodshoppingguide.com/","Ethical Fashion Retailers","https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/","F&F at Tesco","50"
"1593890455-3301","https://thegoodshoppingguide.com/","Ethical Washing Machines","https://thegoodshoppingguide.com/subject/washing-machines/","Stoves","82"
"1593890508-3799","https://thegoodshoppingguide.com/","Ethical Feminine Care","https://thegoodshoppingguide.com/subject/ethical-feminine-care/","Tampax","42"
"1593890557-4132","https://thegoodshoppingguide.com/","Ethical Bread","https://thegoodshoppingguide.com/subject/bread/","Hovis","71"
"1593890551-4077","https://thegoodshoppingguide.com/","Ethical Cat & Dog Food","https://thegoodshoppingguide.com/subject/cat-dog-food/","Naturaw","91"
"1593890573-4277","https://thegoodshoppingguide.com/","Ethical Fashion Retailers","https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/","Wallis","50"
"1593890472-3464","https://thegoodshoppingguide.com/","Ethical Fridges & Freezers","https://thegoodshoppingguide.com/subject/fridges-freezers/","Whirlpool","68"
"1593890505-3775","https://thegoodshoppingguide.com/","Ethical Make Up","https://thegoodshoppingguide.com/subject/make-up/","Estee Lauder","42"
"1593890431-3114","https://thegoodshoppingguide.com/","Ethical TV and Broadband","https://thegoodshoppingguide.com/subject/tv-and-broadband/","Vodafone","85"
"1593890551-4071","https://thegoodshoppingguide.com/","Ethical Cat & Dog Food","https://thegoodshoppingguide.com/subject/cat-dog-food/","Barking/Meowing Heads","91"
"1593890470-3433","https://thegoodshoppingguide.com/","Ethical Furniture‍‍‍","https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/","DFS","68"
"1593890559-4154","https://thegoodshoppingguide.com/","Ethical Bottled Water","https://thegoodshoppingguide.com/subject/bottled-water/","Evian","45"
"1593890542-4002","https://thegoodshoppingguide.com/","Ethical Cooking Oil","https://thegoodshoppingguide.com/subject/cooking-oil/","Princes","29"
"1593890466-3395","https://thegoodshoppingguide.com/","Ethical Kitchen Appliances","https://thegoodshoppingguide.com/subject/kitchen-appliances/","Kenwood","91"
"1593890444-3214","https://thegoodshoppingguide.com/","Ethical Mortgages","https://thegoodshoppingguide.com/subject/ethical-mortgages/","Natwest","22"
"1593890475-3469","https://thegoodshoppingguide.com/","Ethical Flower Delivery Companies","https://thegoodshoppingguide.com/subject/ethical-flower-delivery-companies/","Organic Blooms","85"
"1593890451-3256","https://thegoodshoppingguide.com/","Ethical Banks & Building Societies‍‍‍","https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/","Metro Bank","72"
"1593890559-4143","https://thegoodshoppingguide.com/","Ethical Bottled Water","https://thegoodshoppingguide.com/subject/bottled-water/","Highland Spring","100"
"1593890492-3643","https://thegoodshoppingguide.com/","Ethical Soap","https://thegoodshoppingguide.com/subject/soap/","Yardley","58"
"1593890538-3977","https://thegoodshoppingguide.com/","Ethical Dog Food","https://thegoodshoppingguide.com/subject/ethical-dog-food/","Butcher's","73"
"1593890546-4031","https://thegoodshoppingguide.com/","Ethical Coffee","https://thegoodshoppingguide.com/subject/coffee/","Douwe Egberts","54"
"1593890573-4266","https://thegoodshoppingguide.com/","Ethical Fashion Retailers","https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/","Tu at Sainsbury's","57"
"1593890448-3217","https://thegoodshoppingguide.com/","Ethical Insurance","https://thegoodshoppingguide.com/subject/ethical-insurance/","Naturesave","89"
"1593890538-3975","https://thegoodshoppingguide.com/","Ethical Dog Food","https://thegoodshoppingguide.com/subject/ethical-dog-food/","Beco","82"
"1593890573-4265","https://thegoodshoppingguide.com/","Ethical Fashion Retailers","https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/","Monsoon & Accessorize","57"
"1593890575-4295","https://thegoodshoppingguide.com/","Ethical Electricity Suppliers","https://thegoodshoppingguide.com/subject/electricity-suppliers/","British Gas","55"
"1593890472-3460","https://thegoodshoppingguide.com/","Ethical Fridges & Freezers","https://thegoodshoppingguide.com/subject/fridges-freezers/","Beko","68"
"1593890544-4008","https://thegoodshoppingguide.com/","Ethical Coffee Shops","https://thegoodshoppingguide.com/subject/coffee-shops/","Costa Coffee","65"
"1593890529-3931","https://thegoodshoppingguide.com/","Ethical Pasta, Pulses and Rice","https://thegoodshoppingguide.com/subject/pasta-pulse-and-rices/","Buitoni","54"
"1593890461-3360","https://thegoodshoppingguide.com/","Ethical Paint","https://thegoodshoppingguide.com/subject/paint/","Fired Earth","72"
"1593890481-3547","https://thegoodshoppingguide.com/","Ethical Cleaners","https://thegoodshoppingguide.com/subject/ethical-cleaners/","Ajax","36"
"1593890483-3566","https://thegoodshoppingguide.com/","Ethical Boilers","https://thegoodshoppingguide.com/subject/boilers/","Bosch","64"
"1593890575-4290","https://thegoodshoppingguide.com/","Ethical Electricity Suppliers","https://thegoodshoppingguide.com/subject/electricity-suppliers/","First Utility","75"
"1593890514-3838","https://thegoodshoppingguide.com/","Ethical Vegan & Vegetarian Foods","https://thegoodshoppingguide.com/subject/vegetarian-foods/","Goodlife","67"
"1593890573-4254","https://thegoodshoppingguide.com/","Ethical Fashion Retailers","https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/","Debenhams","71"
"1593890444-3203","https://thegoodshoppingguide.com/","Ethical Mortgages","https://thegoodshoppingguide.com/subject/ethical-mortgages/","TSB","66"
"1593890431-3116","https://thegoodshoppingguide.com/","Ethical TV and Broadband","https://thegoodshoppingguide.com/subject/tv-and-broadband/","John Lewis Broadband - supplied by plusnet","75"
"1593890461-3352","https://thegoodshoppingguide.com/","Ethical Paint","https://thegoodshoppingguide.com/subject/paint/","Auro","94"
"1593890564-4187","https://thegoodshoppingguide.com/","Ethical Beer, Lager and Cider","https://thegoodshoppingguide.com/subject/beer-lager-and-cider/","Carling","54"
"1593890527-3919","https://thegoodshoppingguide.com/","Ethical Soft Drinks","https://thegoodshoppingguide.com/subject/soft-drinks/","Pepsi","57"
"1593890448-3237","https://thegoodshoppingguide.com/","Ethical Insurance","https://thegoodshoppingguide.com/subject/ethical-insurance/","John Lewis","61"
"1593890440-3171","https://thegoodshoppingguide.com/","Ethical Mobile Networks","https://thegoodshoppingguide.com/subject/mobile-networks/","O2","95"
"1593890490-3607","https://thegoodshoppingguide.com/","Ethical Sun Protection","https://thegoodshoppingguide.com/subject/sun-protection/","Tropic Skincare","92"
"1593890470-3429","https://thegoodshoppingguide.com/","Ethical Furniture‍‍‍","https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/","Dunelm","77"
"1593890564-4177","https://thegoodshoppingguide.com/","Ethical Beer, Lager and Cider","https://thegoodshoppingguide.com/subject/beer-lager-and-cider/","Strongbow","67"
"1593890435-3145","https://thegoodshoppingguide.com/","Ethical PC's, Laptops and Tablets","https://thegoodshoppingguide.com/subject/pcs-laptops-and-tablets/","Zoostorm","71"
"1593890451-3250","https://thegoodshoppingguide.com/","Ethical Banks & Building Societies‍‍‍","https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/","Nationwide Building Society","83"
"1593890468-3422","https://thegoodshoppingguide.com/","Ethical Kettles","https://thegoodshoppingguide.com/subject/kettles/","Braun","41"
"1593890527-3915","https://thegoodshoppingguide.com/","Ethical Soft Drinks","https://thegoodshoppingguide.com/subject/soft-drinks/","Vimto","66"
"1593890444-3192","https://thegoodshoppingguide.com/","Ethical Mortgages","https://thegoodshoppingguide.com/subject/ethical-mortgages/","Leeds Building Society","83"
"1593890472-3458","https://thegoodshoppingguide.com/","Ethical Fridges & Freezers","https://thegoodshoppingguide.com/subject/fridges-freezers/","Neff","73"
"1593890457-3319","https://thegoodshoppingguide.com/","Ethical Vaccum Cleaners","https://thegoodshoppingguide.com/subject/vaccum-cleaners/","Electrolux","77"
"1593890570-4238","https://thegoodshoppingguide.com/","Ethical Shoes & Trainers","https://thegoodshoppingguide.com/subject/shoes-trainers/","Asics","58"
"1593890570-4222","https://thegoodshoppingguide.com/","Ethical Shoes & Trainers","https://thegoodshoppingguide.com/subject/shoes-trainers/","Dr Martens","69"
"1593890538-3970","https://thegoodshoppingguide.com/","Ethical Dog Food","https://thegoodshoppingguide.com/subject/ethical-dog-food/","Edgard & Cooper","91"
"1593890523-3894","https://thegoodshoppingguide.com/","Ethical Sugar","https://thegoodshoppingguide.com/subject/sugar/","Billington","56"
"1593890440-3172","https://thegoodshoppingguide.com/","Ethical Mobile Networks","https://thegoodshoppingguide.com/subject/mobile-networks/","Three","90"
"1593890562-4170","https://thegoodshoppingguide.com/","Ethical Biscuits","https://thegoodshoppingguide.com/subject/biscuits/","McVities","46"
"1593890505-3772","https://thegoodshoppingguide.com/","Ethical Make Up","https://thegoodshoppingguide.com/subject/make-up/","Urban Decay","46"
"1593890448-3227","https://thegoodshoppingguide.com/","Ethical Insurance","https://thegoodshoppingguide.com/subject/ethical-insurance/","More Than","72"
"1593890472-3451","https://thegoodshoppingguide.com/","Ethical Fridges & Freezers","https://thegoodshoppingguide.com/subject/fridges-freezers/","Belling","82"
"1593890435-3144","https://thegoodshoppingguide.com/","Ethical PC's, Laptops and Tablets","https://thegoodshoppingguide.com/subject/pcs-laptops-and-tablets/","Toshiba","71"
"1593890553-4112","https://thegoodshoppingguide.com/","Ethical Butter","https://thegoodshoppingguide.com/subject/butter/","Clover","58"
"1593890549-4044","https://thegoodshoppingguide.com/","Ethical Chocolate","https://thegoodshoppingguide.com/subject/chocolate/","Ferrero Rocher","65"
"1593890570-4240","https://thegoodshoppingguide.com/","Ethical Shoes & Trainers","https://thegoodshoppingguide.com/subject/shoes-trainers/","Nine West","54"
"1593890451-3259","https://thegoodshoppingguide.com/","Ethical Banks & Building Societies‍‍‍","https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/","Starling Bank","72"
"1593890527-3912","https://thegoodshoppingguide.com/","Ethical Soft Drinks","https://thegoodshoppingguide.com/subject/soft-drinks/","Schweppes","70"
"1593890495-3687","https://thegoodshoppingguide.com/","Ethical Skincare","https://thegoodshoppingguide.com/subject/skincare/","Origins","42"
"1593890564-4176","https://thegoodshoppingguide.com/","Ethical Beer, Lager and Cider","https://thegoodshoppingguide.com/subject/beer-lager-and-cider/","Miller Genuine Draft","67"
"1593890497-3726","https://thegoodshoppingguide.com/","Ethical Shampoo & Conditioner","https://thegoodshoppingguide.com/subject/shampoo-conditioner/","Tigi","35"
"1593890546-4035","https://thegoodshoppingguide.com/","Ethical Coffee","https://thegoodshoppingguide.com/subject/coffee/","Asda","46"
"1593890438-3157","https://thegoodshoppingguide.com/","Ethical Mobile Phones","https://thegoodshoppingguide.com/subject/mobile-phones/","NEC","79"
