Date,Description,ISIN,Industry,Rating Type,Rating to,Outlook,Rating From,Outlook2,
26 February 2020,CNH Industrial,NL0010545661,Machinery,Corporate Rating,E+,Positive,E+,Positive,
20 February 2020,CITIC Limited,HK0267001375,Banking,Corporate Rating,E,Stable,,,
20 February 2020,Naturgy Energy Group (formerly Gas Natural SDG),ES0116870314,Utilities,Corporate Rating,E+,Stable,EE-,Stable,
19 February 2020,Adidas,DE000A1EWWW0,Apparel & Textile Products,Corporate Rating,EE,Negative ,EE,Warning,
30 January 2020,Sino Biopharmaceutical ,KYG8167W1380,Biotech & Pharma,Corporate Rating,E,Stable,,,
30 January 2020,Continental,DE0005439004,Automotive,Corporate Rating,EE-,Stable,E+,Stable,
29 January 2020,BNP Paribas,FR0000131104,Banking,Corporate Rating,EE+,Under Monitoring,EE+,Stable,
23 January 2020,Capgemini,FR0000125338,Technology Services,Corporate Rating,EEE-,Stable,EEE-,Stable,
22 January 2020,UBS Group,CH0244767585,Banking,Corporate Rating,E+,Negative ,E+,Stable,
16 January 2020,PetroChina,CNE1000003W8,Oil, Gas & Coal,Corporate Rating,E,Stable,,
16 January 2020,Acciona,ES0125220311,Engineering & Construction Svcs,Corporate Rating,EE-,Stable,E+,Stable,
15 January 2020,LVMH,FR0000121014,Apparel & Textile Products,Corporate Rating,E+,Stable,E,Stable,
19 December 2019,Want Want China Holdings,KYG9431R1039,Consumer Products,Corporate Rating,E,Stable,,,
19 December 2019,Geberit,CH0030170408,Home & Office Products,Corporate Rating,EEE-,Stable,EE+,Stable,
18 December 2019,AB Inbev,BE0974293251,Consumer Products,Corporate Rating,E-,Stable,E,Stable,
13 December 2019,Banca Generali,IT0001031084,Banking,Corporate Rating,EE,Stable,EE-,Stable,
12 December 2019,Power Assets Holdings,HK0006000050,Utilities,Corporate Rating,E+,Stable,,,
11 December 2019,Enel,IT0003128367,Utilities,Corporate Rating,EE,Stable,EE+,Stable,
04 December 2019,WH Group ,KYG960071028,Consumer Products,Corporate Rating,E,Stable,,,
04 December 2019,STMicroelectronics,NL0000226223,Semiconductors,Corporate Rating,EE,Stable,EE,Stable,
27 November 2019,ING Groep,NL0011821202,Banking,Corporate Rating,E+,Stable,E+,Positive,
25 November 2019,Banco BPM,IT0005218380,Banking,Corporate Rating,EE-,Positive,EE-,Stable,
21 November 2019,China Mengniu Dairy,KYG210961051,Consumer Products,Corporate Rating,E,Stable,,,
21 November 2019,Terna,IT0003242622,Utilities,Corporate Rating,E+,Stable,E,Stable,
20 November 2019,Dassault Systemes, FR0000130650,Software,Corporate Rating,E+,Stable,,,
14 November 2019,Umicore,BE0974320526,Chemicals,Corporate Rating,EE+,Stable,EE+,Stable,
14 November 2019,Schroders,GB0002405495,Asset Management,Corporate Rating,E+,Stable,,,
13 November 2019,Salvatore Ferragamo,IT0004712375,Apparel & Textile Products,Corporate Rating,E,Positive,E,Stable,
11 November 2019,BPER Banca (formerly Banca Popolare Emilia Romagna),IT0000066123,Banking,Corporate Rating,EE-,Positive,EE-,Stable,
07 November 2019,BHP Group Plc (formerly BHP Billiton),GB00BH0P3Z91,Iron & Steel,Corporate Rating,E,Stable,E,Stable,
07 November 2019,Ence Energia y Celulosa ,ES0130625512,Forest & Paper Products,Corporate Rating,EE-,Stable,,,
06 November 2019,EssilorLuxottica,FR0000121667,Medical Equipment & Devices,Corporate Rating,EE-,Stable,,,
05 November 2019,SIAS,IT0003201198,Transportation Equipment,Corporate Rating,EE-,Stable,,,
05 November 2019,ASTM,IT0000084027,Transportation Equipment,Corporate Rating,EE-,Positive,,,
31 October 2019,Adyen,NL0012969182,Specialty Finance,Corporate Rating,Pending,,,,
31 October 2019,Geely Automobile Holdings,KYG3777B1032,Automotive,Corporate Rating,E,Stable,,,
30 October 2019,Leonardo (formerly Finmeccanica),IT0003856405,Aerospace & Defence,Corporate Rating,EE,Stable,EE-,Positive,
24 October 2019,Verizon Communications,US92343V1044,Telecom,Corporate Rating,EE-,Stable,,,
24 October 2019,PKO Bank Polski,PLPKO0000016,Banking,Corporate Rating,EE-,Stable,,,
23 October 2019,Vivendi,FR0000127771,Media,Corporate Rating,E,Negative,E+,Negative,
10 October 2019,Atlantia,IT0003506190,Engineering & Construction Svcs,Corporate Rating,E-,Stable,E,stable,
26 September 2019,Alcon,CH0432492467,Medical Equipment & Devices,Corporate Rating,Pending,,,,
26 September 2019,Total,FR0000120271,Oil, Gas & Coal,Corporate Rating,EE-,Positive,EE-,Stable
25 September 2019,Pirelli & C.,IT0004623051,Automotive,Corporate Rating,E+,Stable,Removed because Delisted,,
19 September 2019,Warehouses de Pauw (WDP),BE0003763779,Real Estate,Corporate Rating,E+,Stable,,,
19 September 2019,Pfizer,US7170811035,Biotech & Pharma,Corporate Rating,E+,Stable,Pending,,
18 September 2019,Kering,FR0000121485,Apparel & Textile Products,Corporate Rating,E-,Stable,E,Stable,
25 July 2019,UnipolSai,IT0004827447,Insurance,Corporate Rating,EE+,Stable,EE+,Stable,
18 July 2019,ABB,CH0012221716,Electrical Equipment,Corporate Rating,EE,Stable,EE+,Stable,
17 July 2019,Bayer,DE000BAY0017,Biotech & Pharma,Corporate Rating,E+,Stable,EE-,Stable,
11 July 2019,New World Development Company,HK0017000149,Real Estate,Corporate Rating,EE-,Stable,,,
11 July 2019,China Life Insurance Company,CNE1000002L3,Insurance,Corporate Rating,E,Stable,,,
11 July 2019,Shenzhou International Group Holdings,KYG8087W1015,Apparel & Textile Products,Corporate Rating,E,Stable,,,
11 July 2019,Sinopec Corp,CNE1000002Q2,Oil, Gas & Coal,Corporate Rating,E-,Stable,,
11 July 2019,Wharf REIC,KYG9593A1040,Real Estate,Corporate Rating,E+,Stable,,,
11 July 2019,Link REIT,HK0823032773,Real Estate,Corporate Rating,EE,Stable,,,
11 July 2019,Galaxy Entertainment Group,HK0027032686,Gaming, Lodging & Restaurants,Corporate Rating,E,Stable,,
11 July 2019,CK Asset Holdings,KYG2177B1014,Real Estate,Corporate Rating,E+,Stable,,,
11 July 2019,Bank of Communications,CNE100000205,Banking,Corporate Rating,E,Stable,,,
11 July 2019,China Resources Land,KYG2108Y1052,Real Estate,Corporate Rating,E,Stable,,,
11 July 2019,Country Garden Holdings,KYG245241032,Real Estate,Corporate Rating,E,Stable,,,
11 July 2019,CK Hutchison Holdings,KYG217651051,Retail,Corporate Rating,E+,Stable,,,
11 July 2019,Sands China,KYG7800X1079,Gaming, Lodging & Restaurants,Corporate Rating,E,Stable,,
11 July 2019,Hong Kong and China Gas,HK0003000038,Utilities,Corporate Rating,E+,Stable,,,
11 July 2019,Hong Kong Exchanges and Clearing (HKEX),HK0388045442,Institutional Financial Svcs,Corporate Rating,EE+,Stable,,,
11 July 2019,Bank of China Hong Kong Holdings,HK2388011192,Banking,Corporate Rating,E+,Stable,,,
11 July 2019,Sun Hung Kai Properties,HK0016000132,Real Estate,Corporate Rating,E,Stable,,,
11 July 2019,Hang Seng Bank,HK0011000095,Banking,Corporate Rating,E+,Stable,,,
11 July 2019,Industrial and Commercial Bank of China (ICBC),CNE1000003G1,Banking,Corporate Rating,E-,Stable,,,
11 July 2019,Ping An Insurance Group Co of China,CNE1000003X6,Insurance,Corporate Rating,E-,Stable,,,
01 July 2019,FinecoBank,IT0000072170,Banking,Corporate Rating,EE,Stable,EE,Stable,
27 June 2019,China Overseas Land & Investment,HK0688002218,Real Estate,Corporate Rating,E,Stable,,,
26 June 2019,Unibail-Rodamco-Westfield ,FR0013326246,Real Estate,Corporate Rating,EEE-,Stable,Pending,,
20 June 2019,CNOOC,HK0883013259,Oil, Gas & Coal,Corporate Rating,E-,Stable,,
19 June 2019,Amplifon,IT0004056880,Medical Equipment & Devices,Corporate Rating,E+,Stable,,,
14 June 2019,Nordea Bank,FI4000297767,Banking,Corporate Rating,EE+,Negative,EE+,Under Monitoring,
12 June 2019,Sanofi,FR0000120578,Biotech & Pharma,Corporate Rating,EE-,Stable,Pending,,
30 May 2019,Cofinimmo,BE0003593044,Real Estate,Corporate Rating,EE+,Stable,EE+,Stable,
30 May 2019,Swatch,CH0012255151,Apparel & Textile Products,Corporate Rating,E,Stable,E,Stable,
29 May 2019,Saint-Gobain,FR0000125007:,Construction Materials,Corporate Rating,EE,Stable,EE,Stable,
23 May 2019,Tencent Holdings,KYG875721634,Technology Services,Corporate Rating,E-,Stable,,,
23 May 2019,Valeo,FR0013176526,Automotive,Corporate Rating,EE,Stable,EE,Stable,
22 May 2019,Carrefour,FR0000120172,Retail,Corporate Rating,EE-,Negative,EE-,Stable,
16 May 2019,Credito Valtellinese,IT0005319444,Banking,Corporate Rating,EE-,Under Monitoring,EE-,Stable,
16 May 2019,AIA Group,HK0000069689,Institutional Financial Svcs,Corporate Rating,EE,Stable,,,
15 May 2019,Commerzbank,DE000CBK1001,Banking,Corporate Rating,EE-,Stable,E+,Stable,
09 May 2019,ANA Holdings,JP3429800000,Transportation & Logistics,Corporate Rating,E+,Stable,,,
08 May 2019,Deutsche Boerse,DE0005810055,Institutional Financial Svcs,Corporate Rating,EE-,Stable,EE-,Stable,
18 April 2019,China Construction Bank,CNE1000002H1,Banking,Corporate Rating,E,Stable,,,
18 April 2019,Electricité de France (EDF),FR0011637586,Utilities,Corporate Rating,E+,Negative,E+,Stable,
17 April 2019,Deutsche Post,DE0005552004,Transportation & Logistics,Corporate Rating,EE+,Stable,EE,Under Monitoring,
02 April 2019,SBM Offshore,NL0000360618,Engineering & Construction Svcs,Corporate Rating,Removed from SE Indices,,Pending,,
29 March 2019,Swedbank,SE0000242455,Banking,Corporate Rating,EE,Under monitoring,EE,Stable,
29 March 2019,Nordea Bank,SE0000427361,Banking,Corporate Rating,EE+,Under monitoring,EE+,Stable,
28 March 2019,Novo Nordisk,DK0060534915,Biotech & Pharma,Corporate Rating,EE-,Stable,,,
28 March 2019,AB Volvo,SE0000115446,Transportation Equipment,Corporate Rating,E+,Positive,,,
27 March 2019,A2A,IT0001233417,Utilities,Corporate Rating,EE,Stable,EE-,Stable,
21 March 2019,Takeda Pharmaceutical,JP3463000004,Biotech & Pharma,Corporate Rating,EE,Stable,,,
21 March 2019,Henkel,DE0006048432,Consumer Products,Corporate Rating,E,Stable,E,Stable,
20 March 2019,Bank of China,CNE1000001Z5,Banking,Corporate Rating,E-,Stable,,,
14 March 2019,Colruyt,BE0974256852,Retail,Corporate Rating,E,Stable,E,Stable,
14 March 2019,Michelin,FR0000121261,Automotive,Corporate Rating,EE+,Stable,EE,Stable,
13 March 2019,Sony Corporation,JP3435000009,Hardware,Corporate Rating,EE,Stable,,,
13 March 2019,Boeing,US0970231058,Aerospace & Defence,Corporate Rating,Suspended,,E+,Stable,
07 March 2019,Atlas Copco,SE0011166610,Machinery,Corporate Rating,EE,Stable,,,
07 March 2019,Cellnex Telecom,ES0105066007,Telecom,Corporate Rating,EE-,Under Monitoring,EE-,Stable,
06 March 2019,UBI Banca,IT0003487029,Banking,Corporate Rating,EE,Negative,EE,Stable,
28 February 2019,China Mobile, HK0941009539,Telecom,Corporate Rating,E,Stable,,,
28 February 2019,Carnival Plc,GB0031215220,Gaming, Lodging & Restaurants,Corporate Rating,E,Stable,,
27 February 2019,Volkswagen,DE0007664005,Automotive,Corporate Rating,E-,Stable,E-,Stable,
21 February 2019,Equinor,NO0010096985,Oil, Gas & Coal,Corporate Rating,EE,Stable,,
21 February 2019,A.P. Moller - Maersk,DK0010244425,Transportation & Logistics,Corporate Rating,E+,Stable,,,
20 February 2019,Poste Italiane,IT0003796171,Transportation & Logistics,Corporate Rating,E+,Stable,EE-,Under Monitoring,
13 February 2019,Engie,FR0010208488,Utilities,Corporate Rating,EE-,Stable,E+,Stable,
07 February 2019,CLP Holdings,HK0002007356,Utilities,Corporate Rating,E,Stable,,,
07 February 2019,Ferguson PLC (formerly Wolseley),JE00BFYFZP55,Industrial Services,Corporate Rating,EE,Stable,EE,Stable,
31 January 2019,Mizuho Financial Group,JP3885780001,Banking,Corporate Rating,EE-,Stable,,,
31 January 2019,CIE Automotive,ES0105630315,Automotive,Corporate Rating,E,Stable,,,
30 January 2019,CNH Industrial,NL0010545661,Machinery,Corporate Rating,E+,Positive,E,Stable,
24 January 2019,Mitsubishi UFJ Financial Group (MUFG),JP3902900004,Banking,Corporate Rating,E+,Stable,,,
24 January 2019,Ashtead group plc,GB0000536739,Industrial Services,Corporate Rating,EE-,Stable,,,
23 January 2019,Hitachi,JP3788600009,Electrical Equipment,Corporate Rating,EE-,Stable,,,
17 January 2019,Informa,GB00BMJ6DW54,Media,Corporate Rating,EE,Stable,,,
17 January 2019,argenx,NL0010832176,Biotech & Pharma,Corporate Rating,EE-,Stable,,,
16 January 2019,Renault,FR0000131906,Automotive,Corporate Rating,E+,Stable,E+,Stable,
08 January 2019,Banca Carige,IT0005108763,Banking,Corporate Rating,Suspended,,E+,Stable,
20 December 2018,Enel,IT0003128367,Utilities,Corporate Rating,EE+,Stable,EE+,Negative,
20 December 2018,Wirecard,DE0007472060,Specialty Finance,Corporate Rating,EE-,Stable,,,
20 December 2018,MTR Corporation,HK0066009694,Passenger Transportation,Corporate Rating,EE-,Stable,,,
19 December 2018,ArcelorMittal,LU1598757687,Iron & Steel,Corporate Rating,E+,Stable,E+,Stable,
13 December 2018,Swire Pacific,HK0019000162,Real Estate,Corporate Rating,E,Stable,,,
13 December 2018,Covestro,DE0006062144,Chemicals,Corporate Rating,EE+,Stable,,,
12 December 2018,Walgreens Boots Alliance,US9314271084,Retail,Corporate Rating,E+,Stable,,,
06 December 2018,Hermès International,FR0000052292,Apparel & Textile Products,Corporate Rating,E,Stable,,,
01 October 2018,Ferrari,NL0011585146,Automotive,Corporate Rating,E+,Stable,E,Stable,
20 September 2018,Danske Bank,DK0010274414,Banking,Corporate Rating,Suspended,,EE,Stable,
02 July 2018,Unibail-Rodamco,FR0000124711,Real Estate,Corporate Rating,Pending,,EEE-,Stable,
28 June 2018,FinecoBank,IT0000072170,Banking,Corporate Rating,EE,Stable,EE,Stable,
25 June 2018,Deutsche Post,DE0005552004,Transportation & Logistics,Corporate Rating,EE,Under monitoring,EE,Stable,
21 June 2018,Yoox Net-A-Porter,IT0003540470,Retail,Corporate Rating,Suspended because Delisted,,EE-,Stable,
19 June 2018,UnipolSai,IT0004827447,Insurance,Corporate Rating,EE+,Stable,EE,Positive,
30 May 2018,Boeing,US0970231058,Aerospace & Defence,Corporate Rating,E+,Stable,,,
23 May 2018,Sanofi,FR0000120578,Biotech & Pharma,Corporate Rating,Pending,,EE+,Stable,
17 May 2018,Energias de Portugal,PTEDP0AM0009,Utilities,Corporate Rating,E+,Stable,,,
16 May 2018,Philips,NL0000009538,Electrical Equipment,Corporate Rating,EE,Positive,EE,Stable,
16 May 2018,Philips Lighting,NL0011821392,Electrical Equipment,Corporate Rating,EE+,Stable,,,
10 May 2018,London Stock Exchange Group,GB00B0SWJX34,Institutional Financial Svcs,Corporate Rating,EEE-,Stable,EEE-,Stable,
09 May 2018,Fortum,FI0009007132,Utilities,Corporate Rating,EE+,Stable,,,
03 May 2018,Nissan,JP3672400003,Automotive,Corporate Rating,E+,Stable,,,
26 April 2018,ASR Nederland,NL0011872643,Insurance,Corporate Rating,EE-,Stable,,,
25 April 2018,Daiwa Securities Group,JP3502200003,Institutional Financial Svcs,Corporate Rating,EE-,Stable,,,
19 April 2018,Ørsted,DK0060094928,Utilities,Corporate Rating,EE,Stable,,,
18 April 2018,Mitsubishi Electric,JP3902400005,Electrical Equipment,Corporate Rating,EE-,Stable,,,
09 April 2018,ENI,IT0003132476,Oil, Gas & Coal,Corporate Rating,EE+,Stable,EEE-,Stable
28 March 2018,Nestlé,CH0038863350,Consumer Products,Corporate Rating,EE-,Stable,EE-,Stable,
23 March 2018,A2A,IT0001233417,Utilities,Corporate Rating,EE-,Stable,EE-,Stable,
21 March 2018,Airbus Group,NL0000235190,Aerospace & Defence,Corporate Rating,EE-,Stable,EE-,Stable,
14 March 2018,Buzzi Unicem,IT0001347308,Construction Materials,Corporate Rating,E+,Stable,E,Positive,
09 March 2018,UnitedHealth,US91324P1021,Health Care Facilities & Svcs,Corporate Rating,E,Stable,,,
09 March 2018,United Technologies,US9130171096,Aerospace & Defence,Corporate Rating,E,Stable,,,
09 March 2018,Merck & Co.,US58933Y1055,Biotech & Pharma,Corporate Rating,E+,Stable,,,
09 March 2018,Home Depot,US4370761029,Consumer Products,Corporate Rating,E+,Stable,,,
09 March 2018,Exxon Mobil,US30231G1022,Oil, Gas & Coal,Corporate Rating,E-,Stable,,
09 March 2018,DowDuPont,US26078J1007,Chemicals,Corporate Rating,E,Stable,,,
08 March 2018,Veolia Environnement,FR0000124141,Utilities,Corporate Rating,EE,Stable,EE,Stable,
01 March 2018,Procter & Gamble,US7427181091,Consumer Products,Corporate Rating,EE,Stable,,,
22 February 2018,Johnson & Johnson,US4781601046,Biotech & Pharma,Corporate Rating,E,Stable,,,
21 February 2018,Cisco Systems,US17275R1023,Electrical Equipment,Corporate Rating,EE+,Stable,,,
22 December 2017,Vopak,NL0009432491,Oil, Gas & Coal,Corporate Rating,E+,Stable,,
22 December 2017,SBM Offshore,NL0000360618,Engineering & Construction Svcs,Corporate Rating,Pending,,,,
22 December 2017,Randstad,NL0000379121,Commercial Services,Corporate Rating,EE,Stable,,,
22 December 2017,DSM Kon,NL0000009827,Consumer Products,Corporate Rating,EE,Stable,,,
22 December 2017,Boskalis Westmin,NL0000852580,Engineering & Construction Svcs,Corporate Rating,E+,Stable,,,
22 December 2017,Altice,NL0011333752,Telecom,Corporate Rating,E,Stable,,,
22 December 2017,Akzo Nobel,NL0000009132,Chemicals,Corporate Rating,EE+,Stable,,,
22 December 2017,Aalberts Industries,NL0000852564,Industrial Services,Corporate Rating,E+,Stable,,,
14 December 2017,Nike,US6541061031,Consumer Products,Corporate Rating,EE-,Stable,,,
13 December 2017,Intel Corporation,US4581401001,Electrical Equipment,Corporate Rating,EE,Stable,,,
07 December 2017,Philips,NL0000009538,Electrical Equipment,Corporate Rating,EE,Stable,,,
07 December 2017,Banca MPS,IT0005218752,Banking,Corporate Rating,EE-,Stable,Suspended,,
06 December 2017,KPN,NL0000009082,Telecom,Corporate Rating,E+,Stable,,,
06 December 2017,Heineken N.V.,NL0000009165,Consumer Products,Corporate Rating,EE-,Stable,,,
30 November 2017,Coca-Cola Company,US1912161007,Consumer Products,Corporate Rating,EE,Stable,,,
29 November 2017,Pfizer,US7170811035,Biotech & Pharma,Corporate Rating,Pending,,,,
23 November 2017,Moncler,IT0004965148,Retail,Corporate Rating,E+,Stable,E,Stable,
22 November 2017,Goldman Sachs,US38141G1040,Banking,Corporate Rating,E+,Stable,,,
16 November 2017,Aegon,NL0000303709,Insurance,Corporate Rating,EE+,Stable,,,
16 November 2017,NN Group,NL0010773842,Insurance,Corporate Rating,EEE-,Stable,,,
15 November 2017,Visa,US92826C8394,Specialty Finance,Corporate Rating,EE,Stable,,,
15 November 2017,ASML Holding,NL0010273215,Technology Services,Corporate Rating,EE+,Stable,,,
09 November 2017,Inditex,ES0148396007,Consumer Products,Corporate Rating,E-,Stable,,,
09 November 2017,Aena,ES0105046009,Transportation & Logistics,Corporate Rating,E,Stable,,,
09 November 2017,ACS,ES0167050915,Industrial Services,Corporate Rating,E,Stable,,,
09 November 2017,Tecnicas Reunidas,ES0178165017,Oil, Gas & Coal,Corporate Rating,E+,Stable,,
09 November 2017,Melia Hotels International,ES0176252718,Gaming, Lodging & Restaurants,Corporate Rating,E+,Stable,,
09 November 2017,Mapfre,ES0124244E34,Insurance,Corporate Rating,E+,Stable,,,
09 November 2017,Inmobiliaria Colonial,ES0139140174,Real Estate,Corporate Rating,E+,Stable,,,
09 November 2017,Bankinter,ES0113679I37,Banking,Corporate Rating,E+,Stable,,,
09 November 2017,Indra,ES0118594417,Technology Services,Corporate Rating,EE-,Stable,,,
09 November 2017,DIA,ES0126775032,Consumer Products,Corporate Rating,EE-,Stable,,,
09 November 2017,Merlin Properties,ES0105025003,Real Estate,Corporate Rating,EE+,Stable,,,
09 November 2017,Mediaset Espana,ES0152503035,Media,Corporate Rating,E,Stable,,,
08 November 2017,Wolters Kluwer,NL0000395903,Technology Services,Corporate Rating,EEE-,Stable,,,
08 November 2017,Prysmian,IT0004176001,Manufactured Goods,Corporate Rating,EE+,Stable,EE,Stable,
27 October 2017,Repsol,ES0173516115,Oil, Gas & Coal,Corporate Rating,EE-,Stable,,
27 October 2017,Red Electrica,ES0173093024,Utilities,Corporate Rating,EE-,Stable,,,
26 October 2017,Cellnex Telecom,ES0105066007,Telecom,Corporate Rating,EE-,Stable,,,
26 October 2017,Microsoft Corporation,US5949181045,Hardware,Corporate Rating,EE,Stable,,,
12 October 2017,Amadeus IT Group,ES0109067019,Technology Services,Corporate Rating,EE-,Stable,,,
12 October 2017,Siemens Gamesa,ES0143416115,Electrical Equipment,Corporate Rating,EE,Stable,,,
11 October 2017,Apple,US0378331005,Hardware,Corporate Rating,EE-,Stable,,,
05 October 2017,Enagás,ES0130960018,Utilities,Corporate Rating,E+,Stable,,,
05 October 2017,Acciona,ES0125220311,Utilities,Corporate Rating,E+,Stable,,,
04 October 2017,McDonald's Corporation,US5801351017,Consumer Products,Corporate Rating,E+,Stable,,,
28 September 2017,Sika,CH0000587979,Chemicals,Corporate Rating,E+,Stable,,,
28 September 2017,ABN Amro,NL0011540547,Banking,Corporate Rating,EE-,Stable,,,
